Date,Close
10/1/2012 16:00:00,28.49
10/2/2012 16:00:00,28.53
10/3/2012 16:00:00,28.81
10/4/2012 16:00:00,28.93
10/5/2012 16:00:00,28.57
10/8/2012 16:00:00,28.42
10/9/2012 16:00:00,28.03
10/10/2012 16:00:00,27.86
10/11/2012 16:00:00,27.37
10/12/2012 16:00:00,26.89
10/15/2012 16:00:00,26.57
10/16/2012 16:00:00,26.72
10/17/2012 16:00:00,26.96
10/18/2012 16:00:00,27.18
10/19/2012 16:00:00,26.66
10/22/2012 16:00:00,26.61
10/23/2012 16:00:00,26.41
10/24/2012 16:00:00,26.2
10/25/2012 16:00:00,26.04
10/26/2012 16:00:00,26.13
10/31/2012 16:00:00,26.1
11/1/2012 16:00:00,26.48
11/2/2012 16:00:00,26.36
11/5/2012 16:00:00,26.29
11/6/2012 16:00:00,26.26
11/7/2012 16:00:00,25.39
11/8/2012 16:00:00,25.06
11/9/2012 16:00:00,25.31
11/12/2012 16:00:00,25.56
11/13/2012 16:00:00,25.62
11/14/2012 16:00:00,25.49
11/15/2012 16:00:00,25.22
11/16/2012 16:00:00,25.01
11/19/2012 16:00:00,25.52
11/20/2012 16:00:00,25.42
11/21/2012 16:00:00,25.55
11/23/2012 16:00:00,25.93
11/26/2012 16:00:00,25.64
11/27/2012 16:00:00,25.37
11/28/2012 16:00:00,25.37
11/29/2012 16:00:00,25.61
11/30/2012 16:00:00,25.76
12/3/2012 16:00:00,25.77
12/4/2012 16:00:00,25.6
12/5/2012 16:00:00,25.59
12/6/2012 16:00:00,25.4
12/7/2012 16:00:00,25.46
12/10/2012 16:00:00,25.46
12/11/2012 16:00:00,25.77
12/12/2012 16:00:00,26.03
12/13/2012 16:00:00,25.9
12/14/2012 16:00:00,25.67
12/17/2012 16:00:00,25.83
12/18/2012 16:00:00,25.92
12/19/2012 16:00:00,25.59
12/20/2012 16:00:00,25.79
12/21/2012 16:00:00,25.41
12/24/2012 16:00:00,25.46
12/26/2012 16:00:00,25.49
12/27/2012 16:00:00,25.4
12/28/2012 16:00:00,25.15
12/31/2012 16:00:00,25.44
1/2/2013 16:00:00,26.41
1/3/2013 16:00:00,26.43
1/4/2013 16:00:00,26.59
1/7/2013 16:00:00,26.71
1/8/2013 16:00:00,25.92
1/9/2013 16:00:00,25.84
1/10/2013 16:00:00,25.94
1/11/2013 16:00:00,25.86
1/14/2013 16:00:00,25.67
1/15/2013 16:00:00,25.48
1/16/2013 16:00:00,25.1
1/17/2013 16:00:00,25.06
1/18/2013 16:00:00,25.24
1/22/2013 16:00:00,25.37
1/23/2013 16:00:00,25.49
1/24/2013 16:00:00,25.47
1/25/2013 16:00:00,25.67
1/28/2013 16:00:00,25.76
1/29/2013 16:00:00,26.17
1/30/2013 16:00:00,26.02
1/31/2013 16:00:00,26.26
2/1/2013 16:00:00,26.8
2/4/2013 16:00:00,26.59
2/5/2013 16:00:00,26.68
2/6/2013 16:00:00,26.74
2/7/2013 16:00:00,26.62
2/8/2013 16:00:00,26.62
2/11/2013 16:00:00,26.59
2/12/2013 16:00:00,26.87
2/13/2013 16:00:00,26.73
2/14/2013 16:00:00,26.63
2/15/2013 16:00:00,26.69
2/19/2013 16:00:00,26.92
2/20/2013 16:00:00,26.77
2/21/2013 16:00:00,26.74
2/22/2013 16:00:00,26.93
2/25/2013 16:00:00,26.56
2/26/2013 16:00:00,26.78
2/27/2013 16:00:00,27.06
2/28/2013 16:00:00,27.1
3/1/2013 16:00:00,27.18
3/4/2013 16:00:00,27.34
3/5/2013 16:00:00,27.62
3/6/2013 16:00:00,27.39
3/7/2013 16:00:00,27.46
3/8/2013 16:00:00,27.68
3/11/2013 16:00:00,27.62
3/12/2013 16:00:00,27.71
3/13/2013 16:00:00,27.62
3/14/2013 16:00:00,27.82
3/15/2013 16:00:00,27.49
3/18/2013 16:00:00,27.28
3/19/2013 16:00:00,27.27
3/20/2013 16:00:00,27.31
3/21/2013 16:00:00,27.28
3/22/2013 16:00:00,27.49
3/25/2013 16:00:00,27.46
3/26/2013 16:00:00,27.73
3/27/2013 16:00:00,27.64
3/28/2013 16:00:00,27.69
4/1/2013 16:00:00,28.11
4/2/2013 16:00:00,28.35
4/3/2013 16:00:00,28.13
4/4/2013 16:00:00,28.61
4/5/2013 16:00:00,28.69
4/8/2013 16:00:00,28.39
4/9/2013 16:00:00,28.5
4/10/2013 16:00:00,28.81
4/11/2013 16:00:00,29.09
4/12/2013 16:00:00,29.12
4/15/2013 16:00:00,28.64
4/16/2013 16:00:00,28.63
4/17/2013 16:00:00,28.51
4/18/2013 16:00:00,28.48
4/19/2013 16:00:00,28.89
4/22/2013 16:00:00,29.23
4/23/2013 16:00:00,29.43
4/24/2013 16:00:00,27.95
4/25/2013 16:00:00,28.13
4/26/2013 16:00:00,27.95
4/29/2013 16:00:00,28.15
4/30/2013 16:00:00,28.27
5/1/2013 16:00:00,28.35
5/2/2013 16:00:00,28.35
5/3/2013 16:00:00,28.18
5/6/2013 16:00:00,27.99
5/7/2013 16:00:00,28.32
5/8/2013 16:00:00,28.55
5/9/2013 16:00:00,28.17
5/10/2013 16:00:00,28.2
5/13/2013 16:00:00,27.92
5/14/2013 16:00:00,28.1
5/15/2013 16:00:00,28.32
5/16/2013 16:00:00,28.21
5/17/2013 16:00:00,28.26
5/20/2013 16:00:00,28.09
5/21/2013 16:00:00,27.88
5/22/2013 16:00:00,27.64
5/23/2013 16:00:00,27.73
5/24/2013 16:00:00,27.73
5/28/2013 16:00:00,27.3
5/29/2013 16:00:00,27.1
5/30/2013 16:00:00,26.79
5/31/2013 16:00:00,26.41
6/3/2013 16:00:00,26.47
6/4/2013 16:00:00,26.92
6/5/2013 16:00:00,26.61
6/6/2013 16:00:00,27.03
6/7/2013 16:00:00,26.75
6/10/2013 16:00:00,27.16
6/11/2013 16:00:00,26.99
6/12/2013 16:00:00,26.88
6/13/2013 16:00:00,27.4
6/14/2013 16:00:00,27.1
6/17/2013 16:00:00,26.99
6/18/2013 16:00:00,27.3
6/19/2013 16:00:00,26.6
6/20/2013 16:00:00,25.92
6/21/2013 16:00:00,26.01
6/24/2013 16:00:00,26.01
6/25/2013 16:00:00,26.44
6/26/2013 16:00:00,26.66
6/27/2013 16:00:00,26.89
6/28/2013 16:00:00,26.72
7/1/2013 16:00:00,26.64
7/2/2013 16:00:00,26.81
7/3/2013 16:00:00,26.88
7/5/2013 16:00:00,27.04
7/8/2013 16:00:00,26.85
7/9/2013 16:00:00,26.87
7/10/2013 16:00:00,26.71
7/11/2013 16:00:00,27.07
7/12/2013 16:00:00,27.03
7/15/2013 16:00:00,26.83
7/16/2013 16:00:00,27.08
7/17/2013 16:00:00,27.14
7/18/2013 16:00:00,26.97
7/19/2013 16:00:00,27.03
7/22/2013 16:00:00,26.85
7/23/2013 16:00:00,27.03
7/24/2013 16:00:00,26.72
7/25/2013 16:00:00,26.76
7/26/2013 16:00:00,26.87
7/29/2013 16:00:00,27.08
7/30/2013 16:00:00,26.73
7/31/2013 16:00:00,26.62
8/1/2013 16:00:00,26.96
8/2/2013 16:00:00,27
8/5/2013 16:00:00,26.92
8/6/2013 16:00:00,26.78
8/7/2013 16:00:00,26.86
8/8/2013 16:00:00,26.63
8/9/2013 16:00:00,26.26
8/12/2013 16:00:00,26.35
8/13/2013 16:00:00,26.2
8/14/2013 16:00:00,26.24
8/15/2013 16:00:00,25.92
8/16/2013 16:00:00,25.8
8/19/2013 16:00:00,25.5
8/20/2013 16:00:00,25.56
8/21/2013 16:00:00,25.27
8/22/2013 16:00:00,25.52
8/23/2013 16:00:00,25.88
8/26/2013 16:00:00,25.52
8/27/2013 16:00:00,25.43
8/28/2013 16:00:00,25.34
8/29/2013 16:00:00,25.4
8/30/2013 16:00:00,25.53
9/3/2013 16:00:00,25.15
9/4/2013 16:00:00,25.46
9/5/2013 16:00:00,25.16
9/6/2013 16:00:00,25.21
9/9/2013 16:00:00,25.38
9/10/2013 16:00:00,25.64
9/11/2013 16:00:00,25.64
9/12/2013 16:00:00,25.94
9/13/2013 16:00:00,25.9
9/16/2013 16:00:00,26.09
9/17/2013 16:00:00,26.23
9/18/2013 16:00:00,26.38
9/19/2013 16:00:00,26.27
9/20/2013 16:00:00,25.9
9/23/2013 16:00:00,25.83
9/24/2013 16:00:00,25.73
9/25/2013 16:00:00,25.7
9/26/2013 16:00:00,25.83
9/27/2013 16:00:00,25.64
9/30/2013 16:00:00,25.52
10/1/2013 16:00:00,25.7
10/2/2013 16:00:00,25.61
10/3/2013 16:00:00,25.39
10/4/2013 16:00:00,25.47
10/7/2013 16:00:00,25.66
10/8/2013 16:00:00,24.99
10/9/2013 16:00:00,25.47
10/10/2013 16:00:00,25.77
10/11/2013 16:00:00,25.81
10/14/2013 16:00:00,25.6
10/15/2013 16:00:00,25.44
10/16/2013 16:00:00,25.81
10/17/2013 16:00:00,25.99
10/18/2013 16:00:00,26.12
10/21/2013 16:00:00,26.58
10/22/2013 16:00:00,26.59
10/23/2013 16:00:00,26.62
10/24/2013 16:00:00,26.13
10/25/2013 16:00:00,26.56
10/28/2013 16:00:00,26.84
10/29/2013 16:00:00,27.37
10/30/2013 16:00:00,27.37
10/31/2013 16:00:00,27.32
11/1/2013 16:00:00,27.35
11/4/2013 16:00:00,27.51
11/5/2013 16:00:00,26.81
11/6/2013 16:00:00,27.03
11/7/2013 16:00:00,26.5
11/8/2013 16:00:00,26.54
11/11/2013 16:00:00,26.44
11/12/2013 16:00:00,26.54
11/13/2013 16:00:00,26.47
11/14/2013 16:00:00,26.53
11/15/2013 16:00:00,26.74
11/18/2013 16:00:00,26.87
11/19/2013 16:00:00,26.96
11/20/2013 16:00:00,26.72
11/21/2013 16:00:00,26.64
11/22/2013 16:00:00,26.73
11/25/2013 16:00:00,26.69
11/26/2013 16:00:00,26.63
11/27/2013 16:00:00,26.72
11/29/2013 16:00:00,26.57
12/2/2013 16:00:00,26.26
12/3/2013 16:00:00,26.22
12/4/2013 16:00:00,26.11
12/5/2013 16:00:00,25.85
12/6/2013 16:00:00,26.06
12/9/2013 16:00:00,26.18
12/10/2013 16:00:00,25.96
12/11/2013 16:00:00,25.62
12/12/2013 16:00:00,25.58
12/13/2013 16:00:00,25.55
12/16/2013 16:00:00,25.77
12/17/2013 16:00:00,25.55
12/18/2013 16:00:00,25.95
12/19/2013 16:00:00,26
12/20/2013 16:00:00,25.89
12/23/2013 16:00:00,26.18
12/24/2013 16:00:00,26.38
12/26/2013 16:00:00,26.53
12/27/2013 16:00:00,26.55
12/30/2013 16:00:00,26.57
12/31/2013 16:00:00,26.53
1/2/2014 16:00:00,26.38
1/3/2014 16:00:00,26.26
1/6/2014 16:00:00,26.38
1/7/2014 16:00:00,26.38
1/8/2014 16:00:00,25.84
1/9/2014 16:00:00,25.31
1/10/2014 16:00:00,25.37
1/13/2014 16:00:00,25.13
1/14/2014 16:00:00,25.27
1/15/2014 16:00:00,25.5
1/16/2014 16:00:00,25.63
1/17/2014 16:00:00,25.43
1/21/2014 16:00:00,25.34
1/22/2014 16:00:00,25.16
1/23/2014 16:00:00,25.51
1/24/2014 16:00:00,25.22
1/27/2014 16:00:00,25.29
1/28/2014 16:00:00,25.43
1/29/2014 16:00:00,25.14
1/30/2014 16:00:00,25.17
1/31/2014 16:00:00,25.15
2/3/2014 16:00:00,24.11
2/4/2014 16:00:00,24.49
2/5/2014 16:00:00,24.21
2/6/2014 16:00:00,24.15
2/7/2014 16:00:00,24.38
2/10/2014 16:00:00,24.48
2/11/2014 16:00:00,24.87
2/12/2014 16:00:00,24.86
2/13/2014 16:00:00,25.27
